,module,param,comp,size,shape,prunable
0,bert_model.embeddings.word_embeddings,weight,1.0,23440896,"(30522, 768)",False
1,bert_model.embeddings.position_embeddings,weight,1.0,393216,"(512, 768)",False
2,bert_model.embeddings.token_type_embeddings,weight,1.0,1536,"(2, 768)",False
3,bert_model.embeddings.LayerNorm,weight,1.0,768,"(768,)",False
4,bert_model.embeddings.LayerNorm,bias,1.0,768,"(768,)",False
5,bert_model.encoder.layer.0.attention.self.query,weight,2.7735148529173275,589824,"(768, 768)",True
6,bert_model.encoder.layer.0.attention.self.query,bias,2.7725631005307663,768,"(768,)",True
7,bert_model.encoder.layer.0.attention.self.key,weight,2.7735148529173275,589824,"(768, 768)",True
8,bert_model.encoder.layer.0.attention.self.key,bias,2.7725631005307663,768,"(768,)",True
9,bert_model.encoder.layer.0.attention.self.value,weight,2.7735148529173275,589824,"(768, 768)",True
10,bert_model.encoder.layer.0.attention.self.value,bias,2.7725631005307663,768,"(768,)",True
11,bert_model.encoder.layer.0.attention.output.dense,weight,2.7735148529173275,589824,"(768, 768)",True
12,bert_model.encoder.layer.0.attention.output.dense,bias,2.7725631005307663,768,"(768,)",True
13,bert_model.encoder.layer.0.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
14,bert_model.encoder.layer.0.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
15,bert_model.encoder.layer.0.intermediate.dense,weight,2.7735148529173275,2359296,"(3072, 768)",True
16,bert_model.encoder.layer.0.intermediate.dense,bias,2.7725631005307663,3072,"(3072,)",True
17,bert_model.encoder.layer.0.output.dense,weight,2.7735148529173275,2359296,"(768, 3072)",True
18,bert_model.encoder.layer.0.output.dense,bias,2.7725631005307663,768,"(768,)",True
19,bert_model.encoder.layer.0.output.LayerNorm,weight,1.0,768,"(768,)",False
20,bert_model.encoder.layer.0.output.LayerNorm,bias,1.0,768,"(768,)",False
21,bert_model.encoder.layer.1.attention.self.query,weight,2.7735148529173275,589824,"(768, 768)",True
22,bert_model.encoder.layer.1.attention.self.query,bias,2.7725631005307663,768,"(768,)",True
23,bert_model.encoder.layer.1.attention.self.key,weight,2.7735148529173275,589824,"(768, 768)",True
24,bert_model.encoder.layer.1.attention.self.key,bias,2.7725631005307663,768,"(768,)",True
25,bert_model.encoder.layer.1.attention.self.value,weight,2.7735148529173275,589824,"(768, 768)",True
26,bert_model.encoder.layer.1.attention.self.value,bias,2.7725631005307663,768,"(768,)",True
27,bert_model.encoder.layer.1.attention.output.dense,weight,2.7735148529173275,589824,"(768, 768)",True
28,bert_model.encoder.layer.1.attention.output.dense,bias,2.7725631005307663,768,"(768,)",True
29,bert_model.encoder.layer.1.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
30,bert_model.encoder.layer.1.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
31,bert_model.encoder.layer.1.intermediate.dense,weight,2.7735148529173275,2359296,"(3072, 768)",True
32,bert_model.encoder.layer.1.intermediate.dense,bias,2.7725631005307663,3072,"(3072,)",True
33,bert_model.encoder.layer.1.output.dense,weight,2.7735148529173275,2359296,"(768, 3072)",True
34,bert_model.encoder.layer.1.output.dense,bias,2.7725631005307663,768,"(768,)",True
35,bert_model.encoder.layer.1.output.LayerNorm,weight,1.0,768,"(768,)",False
36,bert_model.encoder.layer.1.output.LayerNorm,bias,1.0,768,"(768,)",False
37,bert_model.encoder.layer.2.attention.self.query,weight,2.7735148529173275,589824,"(768, 768)",True
38,bert_model.encoder.layer.2.attention.self.query,bias,2.7725631005307663,768,"(768,)",True
39,bert_model.encoder.layer.2.attention.self.key,weight,2.7735148529173275,589824,"(768, 768)",True
40,bert_model.encoder.layer.2.attention.self.key,bias,2.7725631005307663,768,"(768,)",True
41,bert_model.encoder.layer.2.attention.self.value,weight,2.7735148529173275,589824,"(768, 768)",True
42,bert_model.encoder.layer.2.attention.self.value,bias,2.7725631005307663,768,"(768,)",True
43,bert_model.encoder.layer.2.attention.output.dense,weight,2.7735148529173275,589824,"(768, 768)",True
44,bert_model.encoder.layer.2.attention.output.dense,bias,2.7725631005307663,768,"(768,)",True
45,bert_model.encoder.layer.2.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
46,bert_model.encoder.layer.2.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
47,bert_model.encoder.layer.2.intermediate.dense,weight,2.7735148529173275,2359296,"(3072, 768)",True
48,bert_model.encoder.layer.2.intermediate.dense,bias,2.7725631005307663,3072,"(3072,)",True
49,bert_model.encoder.layer.2.output.dense,weight,2.7735148529173275,2359296,"(768, 3072)",True
50,bert_model.encoder.layer.2.output.dense,bias,2.7725631005307663,768,"(768,)",True
51,bert_model.encoder.layer.2.output.LayerNorm,weight,1.0,768,"(768,)",False
52,bert_model.encoder.layer.2.output.LayerNorm,bias,1.0,768,"(768,)",False
53,bert_model.encoder.layer.3.attention.self.query,weight,2.7735148529173275,589824,"(768, 768)",True
54,bert_model.encoder.layer.3.attention.self.query,bias,2.7725631005307663,768,"(768,)",True
55,bert_model.encoder.layer.3.attention.self.key,weight,2.7735148529173275,589824,"(768, 768)",True
56,bert_model.encoder.layer.3.attention.self.key,bias,2.7725631005307663,768,"(768,)",True
57,bert_model.encoder.layer.3.attention.self.value,weight,2.7735148529173275,589824,"(768, 768)",True
58,bert_model.encoder.layer.3.attention.self.value,bias,2.7725631005307663,768,"(768,)",True
59,bert_model.encoder.layer.3.attention.output.dense,weight,2.7735148529173275,589824,"(768, 768)",True
60,bert_model.encoder.layer.3.attention.output.dense,bias,2.7725631005307663,768,"(768,)",True
61,bert_model.encoder.layer.3.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
62,bert_model.encoder.layer.3.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
63,bert_model.encoder.layer.3.intermediate.dense,weight,2.7735148529173275,2359296,"(3072, 768)",True
64,bert_model.encoder.layer.3.intermediate.dense,bias,2.7725631005307663,3072,"(3072,)",True
65,bert_model.encoder.layer.3.output.dense,weight,2.7735148529173275,2359296,"(768, 3072)",True
66,bert_model.encoder.layer.3.output.dense,bias,2.7725631005307663,768,"(768,)",True
67,bert_model.encoder.layer.3.output.LayerNorm,weight,1.0,768,"(768,)",False
68,bert_model.encoder.layer.3.output.LayerNorm,bias,1.0,768,"(768,)",False
69,bert_model.encoder.layer.4.attention.self.query,weight,2.7735148529173275,589824,"(768, 768)",True
70,bert_model.encoder.layer.4.attention.self.query,bias,2.7725631005307663,768,"(768,)",True
71,bert_model.encoder.layer.4.attention.self.key,weight,2.7735148529173275,589824,"(768, 768)",True
72,bert_model.encoder.layer.4.attention.self.key,bias,2.7725631005307663,768,"(768,)",True
73,bert_model.encoder.layer.4.attention.self.value,weight,2.7735148529173275,589824,"(768, 768)",True
74,bert_model.encoder.layer.4.attention.self.value,bias,2.7725631005307663,768,"(768,)",True
75,bert_model.encoder.layer.4.attention.output.dense,weight,2.7735148529173275,589824,"(768, 768)",True
76,bert_model.encoder.layer.4.attention.output.dense,bias,2.7725631005307663,768,"(768,)",True
77,bert_model.encoder.layer.4.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
78,bert_model.encoder.layer.4.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
79,bert_model.encoder.layer.4.intermediate.dense,weight,2.7735148529173275,2359296,"(3072, 768)",True
80,bert_model.encoder.layer.4.intermediate.dense,bias,2.7725631005307663,3072,"(3072,)",True
81,bert_model.encoder.layer.4.output.dense,weight,2.7735148529173275,2359296,"(768, 3072)",True
82,bert_model.encoder.layer.4.output.dense,bias,2.7725631005307663,768,"(768,)",True
83,bert_model.encoder.layer.4.output.LayerNorm,weight,1.0,768,"(768,)",False
84,bert_model.encoder.layer.4.output.LayerNorm,bias,1.0,768,"(768,)",False
85,bert_model.encoder.layer.5.attention.self.query,weight,2.7735148529173275,589824,"(768, 768)",True
86,bert_model.encoder.layer.5.attention.self.query,bias,2.7725631005307663,768,"(768,)",True
87,bert_model.encoder.layer.5.attention.self.key,weight,2.7735148529173275,589824,"(768, 768)",True
88,bert_model.encoder.layer.5.attention.self.key,bias,2.7725631005307663,768,"(768,)",True
